,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
11,28205,62049,33744,71394,15255,31076,103934,31471,14052,31989,43352,78145,22509,23263,48246,7482,41478,19195,15506,33467,82146,\N,\N,66218,43455,\N,5209,127248,149487,11712,54560,32745,81341,13099,32300,9609,16996,7584,36569,52810,68553,71920,\N,60367,119700,8538,15473,43408,28787,15503,53888,12195,27361,73353,8056,53323,32272,23757,18214,33282,30723,10284,32416,\N,58098,11086,5536,17116,59800,31307,42295,24673,4685,25489,49977,33046,14112,30352,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14363,36679,15738,45424,8422,24334,38189,36907,32268,\N,11469,\N
12,22244,70085,\N,139169,\N,54995,54313,12838,\N,81400,\N,61591,58170,81277,60557,18092,37192,12504,19285,33477,26843,32720,32874,46637,41169,107979,62596,11330,36097,88522,10577,17259,9943,14140,32547,51354,22852,19581,35821,53904,18857,57288,43379,\N,\N,\N,93675,\N,\N,48267,12846,12165,\N,\N,27333,35381,31337,206686,37754,14440,84276,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,41294,134242,148913,\N,\N,\N,\N,\N,58428,68132,\N,\N,45707,23182,\N,\N,129588,23508,28507,148324,\N,151740,154982,270702,\N,\N,\N,61589,\N
13,22359,132066,28892,\N,20702,68610,\N,\N,\N,\N,68522,162147,114004,126998,62480,133884,15343,\N,\N,131859,90098,130095,16749,75599,69096,67451,116205,9122,43120,211596,73851,153375,105524,\N,156967,127225,118323,140219,55582,75044,\N,43685,48273,13133,97667,\N,\N,\N,139162,81737,108116,148867,\N,15586,\N,\N,\N,\N,130741,\N,116356,38663,141930,18527,18570,\N,\N,\N,70347,105082,138301,54046,143974,21352,127947,\N,\N,47196,133546,28541,45681,7019,62372,21335,19616,78573,36689,22025,96276,24625,\N,27395,81863,90583,71004,82435,131189,17175,20610,23993
14,46487,20967,21424,48301,12432,20762,35538,31162,34805,14598,84311,33353,31412,33823,66775,68289,44721,23340,64693,7281,23333,28664,20678,26472,42394,53661,40286,71338,21292,27906,54671,20338,62997,\N,\N,\N,\N,40343,53337,17716,66770,34738,24120,13675,11123,17406,54028,58626,27984,27298,61848,66945,95672,27817,44057,58471,\N,57853,130462,\N,12186,61838,51615,109618,124905,161482,68750,22444,26598,36975,6288,32912,46554,25555,53854,29736,27784,38421,21729,35575,24685,33562,48011,27070,19753,\N,\N,33550,\N,\N,\N,74295,\N,41313,46993,\N,78926,\N,56087,175995
15,\N,\N,30935,65422,\N,37659,61448,\N,180452,\N,57774,\N,184172,53900,105849,69555,70820,\N,\N,65858,11739,\N,\N,\N,\N,\N,\N,\N,18279,\N,42339,178731,\N,54778,61540,62396,18736,67695,\N,131713,141545,68091,\N,\N,234722,\N,\N,\N,\N,\N,\N,11955,\N,53553,120884,222503,\N,92940,44468,\N,\N,\N,72922,50265,\N,61457,120702,62332,\N,34328,\N,\N,\N,285293,\N,41585,\N,48176,\N,190460,135989,190152,\N,55935,\N,172566,159357,244467,\N,\N,\N,\N,63795,\N,\N,\N,202714,25612,14492,74405
16,\N,\N,\N,86682,78592,46330,53542,3835,45884,95427,\N,46202,9024,16516,18654,30488,32805,20280,18273,37473,53040,7006,62835,59596,49841,92730,20405,62466,88801,25959,37332,57281,26806,44609,48305,64278,12963,24120,31677,14949,17881,\N,\N,\N,\N,35976,39508,44302,\N,\N,\N,\N,\N,\N,10171,70160,41834,62906,62219,34439,24741,70771,71655,55357,17962,63683,69482,15566,\N,41243,39695,\N,60533,9115,50306,7359,26293,53899,30402,39127,\N,33894,42090,12649,19427,42751,20476,8685,22210,178178,17215,12968,16849,10609,39491,50680,49963,\N,17899,15198
17,\N,\N,78209,19004,43669,32840,\N,71856,15403,28864,12269,10407,11156,\N,45524,32146,57850,37219,11197,57382,45799,90197,104868,20940,45029,\N,34567,13837,\N,\N,\N,27305,61875,36953,29557,118807,33664,73064,3863,9020,20421,7092,20577,48342,\N,41931,24536,69435,109432,\N,42361,91848,9231,25454,104007,\N,126823,44752,44947,98050,33586,17324,68774,107193,64169,17455,106407,110937,27320,112013,167869,\N,72346,103741,16093,26529,37548,13713,62551,35785,91457,18007,\N,30561,33773,15566,46214,113770,86734,28165,19239,10497,72798,23010,23406,50517,16772,33950,50190,65963
18,137953,64382,69330,57748,161550,52785,146074,147142,106608,54050,54971,36196,55532,109664,150013,71684,60379,36663,37739,55811,17841,13506,18850,16661,4430,13923,\N,18550,\N,42256,\N,87325,7062,\N,\N,13559,11435,30012,46216,41917,18191,\N,23787,22053,5815,33366,23221,\N,14254,35101,24089,29031,26245,200336,32663,29889,8090,90624,77926,\N,31095,\N,14241,23152,5123,\N,60539,\N,\N,\N,24904,33436,8174,11215,81425,27315,36203,10793,9842,14129,43514,130448,143953,7356,\N,\N,\N,\N,\N,61978,52078,6313,19702,61782,45924,62666,64362,\N,31843,\N
19,42463,16832,58185,150233,16828,124496,18417,\N,\N,15928,23085,22157,14171,20088,19559,61463,143233,90961,37471,8688,12005,37478,\N,148496,151738,\N,113147,48744,\N,9572,\N,14855,\N,55239,33902,\N,52638,25317,33415,25947,27544,\N,22895,216351,94436,52868,26573,50415,138658,20931,120164,107001,98099,163805,119994,45286,54061,25948,75723,102939,22702,126790,32198,8274,119739,76684,73421,32817,\N,60754,87892,128822,\N,16775,21342,20590,\N,\N,66447,109758,95373,120947,94821,37635,88263,56864,39633,\N,70137,18095,91341,71602,123750,107723,14705,75469,41455,19234,49713,25947
20,30877,77839,40399,38681,78470,36873,41090,19802,76052,110434,6412,90767,10248,85202,82619,101440,43514,9464,28791,33534,25273,15352,65439,23294,127757,23478,62253,25348,18222,108300,27274,32548,30311,51115,36161,34451,68348,103659,14655,26634,44439,23498,16181,55539,47263,8430,14187,62694,27983,133149,28378,\N,41614,44791,21744,27171,31534,15793,68592,20699,48404,44936,14065,87183,29005,97857,41452,10907,26287,19850,21486,39761,22634,33570,19442,25721,17060,37370,53611,65371,\N,68738,61168,33304,44992,157743,123257,139080,69543,147908,7099,\N,125241,136429,\N,107393,60354,142835,19303,90951
21,68680,30933,84747,64307,15207,64338,90945,49467,13398,29638,54451,37195,25974,30852,27215,8482,11749,27264,32826,44561,42396,56068,17434,37140,159853,61014,148684,69766,111045,149623,151753,162274,62279,63199,\N,95432,161446,172635,44425,63761,106254,\N,148315,77969,68607,44892,45967,40746,64040,108771,9096,141801,90277,\N,\N,154521,21245,\N,159685,110735,36481,151083,40446,26739,115547,44807,23169,27276,10598,88432,114916,\N,\N,19400,\N,\N,111644,37389,38601,45715,14167,108709,67629,36404,72300,112648,36448,142203,90679,21861,\N,41062,40601,73354,103974,55795,19661,64121,7001,33731
22,49971,40798,45561,34776,96117,54040,64265,16403,48784,76661,32757,109017,24354,30682,26378,9446,16883,39781,21740,37400,14757,28265,45106,45517,25602,13641,31195,47435,59196,61231,\N,14536,62563,54992,110343,11379,14854,74649,35808,48265,27307,91088,6463,17989,10599,6193,15353,26746,45297,40179,30468,33742,30221,51025,39015,50851,19017,81466,71237,33572,10142,\N,\N,\N,\N,\N,\N,\N,\N,\N,72664,50424,18523,26159,40345,35778,24284,18019,29765,28082,16515,41624,22744,26695,32181,33050,29814,72740,68359,66356,80337,45731,94685,77007,57641,54162,58208,76637,74315,13422
23,68582,132599,21149,156851,129814,26639,85592,77502,\N,56521,32079,34092,29648,18247,120016,99424,111868,81360,28074,28892,134254,69096,67451,116205,81844,149238,71004,82435,131189,25567,21292,27906,52327,76840,68750,23268,178731,78592,31744,48249,68103,68498,56224,18129,48305,67668,\N,48342,89519,87211,43225,55316,61742,46214,113770,45418,\N,86734,28165,17841,46431,27544,115727,17599,43039,9366,78303,133500,9096,134098,86251,154891,53439,78103,58876,136843,40761,13196,72127,43481,72287,10076,31857,8355,55166,43384,72589,10019,31888,8214,54883,49131,48843,12010,44767,54733,7953,35891,13809,59365
24,15416,\N,26948,64747,47655,36525,11304,37199,\N,6913,29281,16748,45315,37136,13535,30632,73479,28398,4945,159925,24589,163646,22121,41684,28216,34339,72664,42009,11353,49424,37636,\N,\N,16944,73100,22545,26872,46297,44555,19587,\N,32473,40271,\N,35597,34863,99776,17262,19932,49761,\N,42987,18760,9017,15252,49348,12614,35082,41013,50010,22437,29211,19814,17998,48134,101450,114411,21395,29818,48530,\N,27792,\N,\N,44017,22492,39443,39130,20193,100358,8365,60876,33681,43217,\N,42080,26168,17106,46130,59755,23941,67152,\N,20485,\N,24688,44755,52775,39737,32173
25,30052,136019,31796,41896,94955,37686,38351,17078,264767,57101,64259,21685,28732,24032,50840,29391,110344,50983,12426,37150,22750,139381,129094,37887,31840,223940,\N,98933,129482,113284,25754,30610,\N,52703,15251,23167,17126,41045,89408,11997,11713,17075,38379,66155,50424,49014,48600,11876,55175,8046,35627,13843,59974,\N,\N,15360,26645,47964,36758,11448,37512,6752,29336,16843,45226,37369,13676,30875,28207,4732,24540,\N,22132,41681,28241,34507,72740,41979,11267,49586,38025,\N,\N,\N,55354,16744,73138,22573,27022,46692,\N,44531,19646,32548,40421,35544,35147,16973,19825,49723
26,\N,43066,18761,8938,15151,\N,49904,12785,35469,\N,40856,\N,49995,22478,29227,19982,17917,48606,\N,\N,\N,\N,\N,\N,\N,70712,\N,\N,101439,114660,\N,100305,\N,\N,21265,29620,48764,27778,44127,22467,39659,39255,20347,8272,33550,\N,\N,43274,\N,42084,26255,17031,45961,59361,\N,100187,\N,63258,87002,103619,23875,54880,70516,63202,20835,24873,44673,53004,39695,\N,32464,29958,136173,32075,42256,\N,94436,37848,38334,\N,16854,57664,21655,29018,23968,51199,29367,110692,50850,12633,37371,22699,139266,\N,\N,\N,129236,\N,\N,37826
27,31703,98808,\N,129638,113552,25727,30896,52842,15124,23191,17042,41142,89414,12036,11598,16764,38286,\N,\N,\N,\N,\N,\N,\N,10076,55166,10019,54883,54733,13809,59365,36525,\N,37136,30632,159925,24589,163646,34339,72664,37636,46297,\N,99776,35082,29211,17998,48134,48530,\N,44017,22492,20193,100358,33681,59755,23941,67152,41896,38351,112110,21685,28732,139381,159079,98933,30610,38379,66155,55175,59974,217725,36758,37369,30875,24540,175760,34507,72740,69674,38025,189059,129492,94213,46692,108615,35469,132928,61066,29227,173647,17917,48606,206686,147119,111753,80221,184788,97667,\N
28,116356,77847,96452,78573,122423,108462,48764,44127,22467,169368,109800,20347,33550,120884,\N,43274,59361,177755,23875,94277,114489,118807,42256,\N,38334,21655,181470,29018,90951,54989,18421,139266,129236,121467,116761,135451,126686,115547,98945,114916,97100,98808,186350,111625,105274,117377,30896,23191,38286,\N,\N,42587,\N,59979,\N,15444,\N,59876,\N,\N,\N,\N,178904,\N,\N,10293,22894,\N,14751,71306,\N,200167,211687,\N,\N,213182,\N,158485,61062,148571,149821,\N,194337,\N,19588,\N,\N,7953,13809,16748,13535,18760,12614,19814,17998,114411,20193,33681,23941,32173
29,30052,136019,17078,21685,29391,110344,12426,139381,98933,11997,73599,117354,153383,\N,8046,47662,44140,\N,66437,14830,6166,13843,105345,18445,23056,51343,27650,37401,31459,14821,157175,16224,161739,21901,158209,160001,\N,\N,\N,52689,61015,36313,179021,\N,\N,16843,13676,118258,73220,139928,147160,145423,55332,69644,74740,106390,69184,110984,90172,72831,\N,122860,120620,9908,43352,10439,7482,15808,149487,22750,38600,141612,13099,42414,19428,50740,30262,171563,18895,15373,18761,4694,35720,4744,32639,\N,\N,\N,\N,\N,\N,\N,\N,14864,12785,81400,123304,107979,14516,19982
30,17917,148913,148324,151740,154982,71509,68610,36671,131235,\N,62998,\N,\N,\N,\N,\N,68522,162147,\N,26440,201183,66292,55512,61733,43120,211596,114660,73851,153375,105524,156967,118323,140219,55582,75044,43685,13133,97667,\N,81737,108116,148867,\N,\N,55866,130741,116356,38663,141930,18527,18570,98586,77847,\N,70347,105082,54046,21352,127947,96452,133546,28541,45681,7019,62372,21335,78573,22025,96276,24625,27395,71004,122423,108462,54671,62997,\N,\N,\N,\N,\N,18553,3155,19061,\N,\N,95672,130462,124905,161482,20347,38421,15704,24030,33550,141545,159357,18654,18273,24601
31,29562,26040,100187,102512,87002,23875,98135,94200,\N,\N,\N,\N,35976,44302,\N,\N,\N,\N,\N,\N,\N,70160,87597,\N,\N,55357,63683,214497,104868,48342,109432,107193,106407,110937,32464,\N,\N,16070,29958,158433,136173,47919,15037,23321,161550,52785,147142,106608,122804,7509,42651,19099,\N,55706,54050,54971,16007,29907,36196,\N,55532,109664,71684,137043,59543,10333,32715,60379,52416,9209,36663,37739,40254,32517,55811,36949,77727,17841,148496,21342,71602,77839,127757,16854,21715,136686,140048,36603,12493,59346,67672,26634,27325,3184,17243,10196,18903,21655,133149,29005
32,32622,40948,14623,29367,44992,110692,51604,157743,69543,120532,19441,\N,147908,7099,\N,125241,24878,102617,\N,107393,60354,90951,68680,72778,39000,30933,115950,12633,52001,60327,60020,\N,148691,15596,149688,139266,117480,44302,6292,27758,159853,61014,36492,73590,145445,69766,111045,10077,15738,149623,141650,50880,30431,171427,15482,35914,\N,123292,151753,130828,\N,162274,61940,62279,63199,\N,18992,95432,161446,24236,26290,86927,44425,\N,87293,63761,106254,9077,148315,77969,140136,67772,17253,18943,40944,68607,116268,60645,44892,45967,44691,40746,64040,108771,45178,84012,48559,9061,20856,9096
33,42814,16160,90277,154521,21245,159685,110735,36481,26739,115547,44807,98945,\N,\N,37120,114916,\N,\N,19400,\N,\N,37389,14387,45715,97100,98808,85485,36404,94241,40008,38728,44602,31105,21861,\N,32275,27354,40601,73354,55795,64121,\N,195285,96117,109017,24354,36664,30682,44990,27307,77567,83804,12036,\N,19442,26477,12502,\N,62932,8865,\N,237506,139054,\N,214565,\N,\N,202504,\N,130642,\N,\N,216695,216386,183067,194797,\N,179377,\N,\N,\N,\N,178731,\N,\N,190460,190152,188187,213892,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
34,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,22359,28892,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,72287,55166,72589,48843,12010,54733,7953,13809,59365,47655,36525,11304,\N,6913,16748,13535,30632,159925,24589,28216,34339,72664,42009,37636,73100,46297,\N,32473,99776,17262,19932,18760,40940,12614,35082,41013,50010,22437,29211,19814,17998,48134,101450,114411,27792,44017,22492,20193,100358,33681,43217,59755,23941,67152,20485,44755,52775,39737,32173,30052,136019
35,41896,94955,38351,264767,21685,28732,50840,29391,110344,50983,12426,139381,\N,98933,113284,25754,30610,23167,89408,11997,17075,48600,11876,55175,8046,13843,\N,\N,47964,36758,11448,6752,16843,37369,13676,30875,24540,28241,34507,72740,41979,38025,\N,46692,32548,16973,19825,8938,40802,12785,35469,\N,40856,\N,49995,22478,29227,19982,17917,48606,\N,\N,147119,70712,\N,\N,22359,28892,101439,\N,\N,27778,44127,22467,20347,33550,\N,\N,120884,43274,23875,70516,20835,53004,39695,\N,32464,29958,42256,94436,38334,21655,29018,51199,29367,110692,50850,12633,139266,\N
36,129236,\N,98808,113552,25727,30896,23191,89414,12036,106673,104358,68126,93324,72696,58145,92656,73458,64997,71105,\N,68159,\N,104714,24163,23534,52820,46749,217725,25808,102986,95315,39826,\N,13757,78257,98740,26341,61232,12981,142503,157175,156833,69796,81751,\N,53969,75903,161739,18492,139472,33748,\N,\N,39875,31889,79181,158209,55189,\N,160001,163243,164319,\N,\N,\N,\N,72957,19901,24112,23323,63803,147887,23111,52152,40921,46243,35012,25294,52790,44329,\N,47490,102415,94315,95138,\N,39638,13394,64975,56514,62621,65899,\N,\N,59675,68368,73204,\N,77836,179449
37,52810,64768,67819,66605,\N,140543,67001,\N,\N,\N,\N,76017,\N,\N,\N,75572,40494,47086,\N,158355,243465,\N,69217,98494,87461,68187,59726,65834,69111,62888,26336,\N,15105,138826,\N,60848,49617,\N,107222,\N,93675,\N,\N,\N,12846,\N,19875,23290,148177,41451,35381,\N,206686,94725,\N,66889,\N,87701,14973,49864,\N,\N,134242,148913,148571,260957,\N,\N,58428,70712,\N,\N,154515,45707,\N,64535,153477,129588,\N,\N,\N,\N,\N,17740,28507,20796,67813,148324,43821,\N,151740,154982,156058,\N,116391,150116,64176,\N,\N,16091
38,61589,\N,141984,133884,15001,156967,\N,140722,148867,67046,58585,64693,67970,64333,61747,72838,156282,138477,148182,14900,21193,54671,62997,21959,36003,22650,58286,64452,\N,69084,\N,63597,169368,44057,56015,59067,57853,58248,\N,\N,67265,\N,66820,38333,\N,233383,\N,60464,64916,81549,70516,154016,21228,53899,45799,\N,76215,67754,70585,75217,62148,65200,63986,64382,\N,161550,153450,54971,18191,138658,128822,33534,75947,67485,17675,39213,40371,27983,31534,47161,38700,20697,78637,65569,68620,67406,67802,157743,147908,54664,43433,159853,\N,151753,63199,92946,162621,\N,158477,154521
39,22166,163530,155429,116085,36062,149414,22782,63767,64162,69211,60750,16011,65161,67830,72461,47435,59393,62444,61231,61626,\N,42009,\N,33681,39737,\N,\N,\N,\N,\N,41979,\N,\N,\N,\N,69674,66192,26916,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,33550,\N,\N,\N,\N,\N,120884,44468,\N,\N,26806,44609,48305,39695,\N,\N,\N,\N,\N,\N,\N,48342,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
40,\N,\N,\N,41013,\N,\N,\N,\N,40856,120633,61066,\N,\N,\N,\N,\N,\N,\N,\N,42009,114411,129094,\N,\N,40856,\N,114660,183067,98586,\N,98135,129236,\N,322567,309398,297337,225475,100457,311528,285027,289630,274210,285293,283019,123292,274934,39737,\N,\N,159103,\N,26806,39695,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,43481,29170,72287,66114,34862,17628,10076,31857,8355,55166,30614,64960,193855,149821,179079,\N,\N,43384,72589,10019,31888,8214,54883,\N,49131,\N,48843,12010,44767,40946,\N,54733,7953,93261,35891,13809
41,\N,\N,59365,15416,\N,\N,26948,64747,47655,36525,155468,11304,37199,\N,\N,6913,29281,16748,45315,37136,13535,30632,73479,28398,4945,159925,24589,163646,22121,41684,28216,34339,72664,42009,11353,49424,37636,\N,\N,\N,16944,73100,22545,26872,46297,44555,\N,71878,19587,\N,32473,40271,\N,\N,61794,35597,34863,\N,99776,\N,\N,17262,19932,49761,\N,42987,\N,18760,9017,15252,158204,\N,40940,49348,12614,35082,41013,\N,50010,22437,29211,19814,17998,48134,\N,\N,22191,101450,114411,21395,29818,48530,\N,\N,214196,27792,\N,\N,\N,\N
42,43174,44017,22492,39443,39130,20193,100358,201976,8365,60876,33681,43217,\N,42080,26168,17106,46130,59755,23941,67152,\N,20485,\N,\N,24688,44755,52775,39737,32173,\N,30052,136019,31796,41896,94955,37686,38351,\N,17078,264767,\N,57101,112110,64259,21685,28732,24032,50840,29391,\N,169934,110344,169625,50983,12426,37150,\N,22750,\N,139381,129094,37887,31840,127376,159079,223940,\N,98933,129482,113284,25754,30610,\N,\N,\N,52703,182187,15251,23167,17126,41045,89408,11997,\N,\N,11713,17075,38379,66155,50424,\N,49014,24517,15058,48600,71838,93324,58145,34576,59964
43,73436,11876,34290,44788,26913,41034,6246,29257,55175,43272,36220,64997,70380,35076,28014,50661,24093,8046,37387,52682,30364,56101,43478,30689,23039,13603,35627,19398,24329,13843,14510,27557,47930,105345,48129,36023,46381,85558,75944,17098,\N,59974,\N,\N,52820,41352,217725,47895,39826,\N,51178,61232,12981,142503,157175,12490,\N,69796,74171,49561,\N,\N,39875,31889,124653,15360,11372,8339,21291,26645,65003,37306,19410,47964,16317,23323,22554,50537,35709,36758,29021,27679,11880,59250,16658,109732,51047,22990,11448,40048,39690,37512,10359,12661,6752,31323,29336,20886,16843,52152
44,44974,40921,41316,45226,25852,14998,16887,37369,8091,27301,26532,39662,13676,27306,34827,35012,35407,63233,108769,30875,41089,10818,31291,118258,31475,51830,40891,26555,59954,53730,12286,24721,73172,31540,22202,28207,19972,4732,24540,43033,14546,47424,28690,\N,27047,175760,29054,61193,49809,13907,35317,56701,20033,55651,42226,37349,101017,114506,37533,32547,46720,25317,20794,24079,37565,41868,17314,32277,16250,\N,29047,29654,53619,124408,85817,19313,47395,36975,26695,27769,10458,22132,41681,28241,10039,34946,37041,34507,29363,28022,14063,139928,29830,14458,46353,46107,59593,62264,110074,72740
